article_id,newspaper,title,author,url,date,city_writing_origin,countries_mentioned,politicians_mentioned,n_comments
148,lavanguardia.com,Obligada “pausa iraní” en las negociaciones de paz entre Rusia y Ucrania,Gonzalo Aragonés,https://www.lavanguardia.com/internacional/20260310/11486021/obligada-pausa-irani-en-las-negociaciones-de-paz-entre-rusia-y-ucrania.html,10/03/2026,Moscú,"Afganistán, Irán, Israel, Rusia, Suiza, Turquía, Ucrania, Emiratos Árabes Unidos, Estados Unidos","Donald Trump, Zelenski, Putin, putin, zelenski",1
149,lavanguardia.com,Turquía despliega misiles Patriot de la OTAN tras interceptar dos proyectiles iraníes,Agencias,https://www.lavanguardia.com/internacional/20260310/11485990/turquia-despliega-misiles-patriot-otan-interceptar-dos-proyectiles-iranies.html,10/03/2026,Estambul,"Alemania, Irán, Países Bajos, Corea del Sur, España, Siria, Turquía, Estados Unidos",NA,1
150,lavanguardia.com,Costa defiende un orden internacional basado en normas frente al giro de Von der Leyen,Anna Buj,https://www.lavanguardia.com/internacional/20260310/11485902/costa-defiende-orden-internacional-basado-normas-frente-giro-von-der-leyen.html,10/03/2026,Bruselas,"China, Irán, Israel, Italia, Rusia, Reunión, España, Estados Unidos","von der Leyen, Von der Leyen, Donald Trump, Putin",271
151,lavanguardia.com,Siete futbolistas iraníes reciben asilo en Australia y el resto del equipo vuela a Malasia,Agencias,https://www.lavanguardia.com/deportes/futbol/20260310/11485790/cinco-jugadoras-seleccion-futbol-iran-desertan-australia.html,10/03/2026,Melbourne,"Australia, Irán, Israel, Malasia, Estados Unidos",Donald Trump,NA
152,lavanguardia.com,"Trump advierte que está valorando “una toma de control amistosa, o no” de Cuba",Agencias,https://www.lavanguardia.com/internacional/20260310/11485786/trump-advierte-esta-valorando-toma-control-amistosa-cuba.html,10/03/2026,Miami,"Cuba, Irán, Estados Unidos",Donald Trump,17
153,lavanguardia.com,Chipre se queja por el largo retraso en la llegada de un destructor británico a la isla,Rafael Ramos,https://www.lavanguardia.com/internacional/20260310/11485586/chipre-queja-retraso-llegada-destructor-britanico-isla.html,10/03/2026,Londres,"Chipre, Francia, Grecia, Irán, Reunión, Reino Unido",NA,2
154,lavanguardia.com,"Mojtaba Jamenei, el hijo del padre",Catalina Gómez Ángel,https://www.lavanguardia.com/internacional/20260310/11485579/mojtaba-hijo-padre.html,10/03/2026,Teherán,"Irán, Israel",NA,43
155,lavanguardia.com,Macron anuncia el envío de una flota europea a Ormuz “cuando sea posible”,Eusebio Val,https://www.lavanguardia.com/internacional/20260310/11485533/macron-anuncia-envio-flota-europea-ormuz-sea-posible.html,10/03/2026,París,"Chipre, Yibuti, Francia, Alemania, Grecia, Irán, Italia, Jordania, Kuwait, Líbano, Países Bajos, España, Emiratos Árabes Unidos, Estados Unidos",NA,16
156,lavanguardia.com,Irán responde a Trump: “Somos quienes determinaremos el fin de la guerra”,Agencias,https://www.lavanguardia.com/internacional/20260310/11485777/iran-responde-trump-quienes-determinaremos-guerra.html,10/03/2026,Ciudad,"Irán, Israel, Estados Unidos",Donald Trump,8
157,lavanguardia.com,León XIV eleva el tono ante la guerra de Trump y Netanyahu,Francesco Olivo,https://www.lavanguardia.com/internacional/20260309/11485590/leon-xiv-eleva-tono-guerra-trump-netanyahu.html,09/03/2026,Roma,"Irán, Israel, Estados Unidos","Netanyahu, Donald Trump, netanyahu",29
158,lavanguardia.com,Trump dice que la guerra en Irán está “casi terminada” y promete luchar hasta la “victoria total”,Javier de la Sotilla,https://www.lavanguardia.com/internacional/20260309/11485587/trump-afirma-guerra-iran-esta-practicamente-terminada.html,09/03/2026,Washington,"Irán, Israel, Rusia, Ucrania, Estados Unidos, Venezuela","Donald Trump, Putin, putin",374
